Country name,year,Happiness score,Log GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Sweden,2019,7.398,10.882,0.934,72.7,0.9420000000000001,0.091,0.25
Sweden,2020,7.314,10.838,0.9359999999999999,72.8,0.951,0.091,0.203
Switzerland,2019,7.694,11.136,0.9490000000000001,74.4,0.9129999999999999,0.036000000000000004,0.294
Switzerland,2020,7.507999999999999,11.081,0.946,74.7,0.917,-0.064,0.28
Tajikistan,2019,5.4639999999999995,8.126,0.88,64.4,0.917,-0.045,0.49
Tajikistan,2020,5.372999999999999,8.08,0.79,64.7,0.917,-0.04,0.55
Tanzania,2019,3.64,7.886,0.687,58.0,0.85,0.1,0.589
Tanzania,2020,3.786,7.881,0.74,58.5,0.83,0.295,0.521
Thailand,2019,6.022,9.824,0.903,67.4,0.898,0.309,0.877
Thailand,2020,5.885,9.769,0.867,67.6,0.84,0.273,0.9179999999999999
Togo,2019,4.178999999999999,7.375,0.539,55.1,0.617,0.065,0.737
Tunisia,2019,4.315,9.283,0.61,67.2,0.659,-0.209,0.889
Tunisia,2020,4.731,9.231,0.7190000000000001,67.5,0.6679999999999999,-0.20199999999999999,0.877
Turkey,2019,4.872,10.245999999999999,0.792,67.2,0.631,-0.136,0.76
Turkey,2020,4.862,10.219,0.857,67.6,0.51,-0.111,0.774
Turkmenistan,2019,5.474,9.651,0.982,62.6,0.892,0.285,0.774
Uganda,2019,4.948,7.688,0.805,56.1,0.7040000000000001,0.139,0.826
Uganda,2020,4.641,7.684,0.8,56.5,0.687,0.147,0.878
Ukraine,2019,4.702,9.458,0.883,64.9,0.715,-0.081,0.885
Ukraine,2020,5.27,9.427999999999999,0.885,65.2,0.784,0.126,0.946
United Arab Emirates,2019,6.711,11.114,0.862,67.3,0.9109999999999999,0.129,0.946
United Arab Emirates,2020,6.457999999999999,11.052999999999999,0.8270000000000001,67.5,0.9420000000000001,0.06,0.946
United Kingdom,2019,7.157,10.751,0.943,72.5,0.8540000000000001,0.271,0.485
United Kingdom,2020,6.797999999999999,10.626,0.929,72.7,0.885,0.203,0.49
United States,2019,6.944,11.043,0.917,68.2,0.836,0.14400000000000002,0.7070000000000001
United States,2020,7.028,11.001,0.937,68.1,0.85,0.034,0.6779999999999999
Uruguay,2019,6.6,9.979,0.9329999999999999,69.1,0.903,-0.095,0.599
Uruguay,2020,6.31,9.937000000000001,0.9209999999999999,69.2,0.9079999999999999,-0.084,0.491
Uzbekistan,2019,6.154,8.853,0.915,65.4,0.97,0.304,0.511
Vietnam,2019,5.4670000000000005,8.992,0.848,68.1,0.9520000000000001,-0.126,0.7879999999999999
Zambia,2019,3.307,8.155,0.638,55.8,0.8109999999999999,0.077,0.8320000000000001
Zambia,2020,4.838,8.117,0.767,56.3,0.75,0.055999999999999994,0.81
Zimbabwe,2019,2.694,7.95,0.759,56.2,0.632,-0.064,0.831
Zimbabwe,2020,3.16,7.829,0.7170000000000001,56.8,0.643,-0.009000000000000001,0.789
